original_text,document,paragraph_index,simplified_text
"Il soggetto gestore, ai fini del mantenimento dell'abilitazione all'esercizio, è tenuto ad assolvere al debito informativo previsto per la specifica unità d'offerta.",3e0abd25f3bcf417e9e0a8b74e158ef5,11,Il gestore deve fornire le informazioni richieste per mantenere l'autorizzazione a operare nell'ambito dell'offerta specifica.
"Il soggetto gestore è tenuto inoltre a garantire alla ATS, nell'ambito dell'esercizio delle funzioni di vigilanza e controllo: l'accesso a tutti i locali della struttura; l'accesso alla documentazione rilevante ai fini dell'esercizio dell'unità di offerta; la possibilità di intraprendere ogni ulteriore esame finalizzato a verificare l'allineamento della gestione reale a quanto dichiarato nei diversi documenti prodotti; la facoltà di assumere informazioni dirette dal personale, dagli ospiti e dai loro familiari.",3e0abd25f3bcf417e9e0a8b74e158ef5,12,"Il gestore deve garantire alla ATS quanto segue durante l'esercizio delle funzioni di vigilanza e controllo: 
- Accesso a tutti i locali della struttura;
- Accesso alla documentazione necessaria per l'esercizio dell'unità di offerta;
- Possibilità di effettuare ulteriori controlli per verificare che la gestione effettiva corrisponda a quanto dichiarato nei documenti prodotti;
- Autorizzazione a raccogliere informazioni direttamente dal personale, dagli ospiti e dai loro familiari."
"In caso di SCIA incompleta, mancante cioè di elementi essenziali (come ad esempio: la sottoscrizione da parte del legale rappresentante, i dati o la documentazione allegata previsti nella modulistica regionale, la possibilità di identificare la tipologia di unità d'offerta a cui la SCIA si riferisce), la ATS, senza attendere la decorrenza dei termini previsti per le verifiche comunica al soggetto gestore l'irricevibilità o l'inammissibilità o l'improcedibilità della SCIA, ai sensi della legge n. 241/1990. Il gestore ha in tal caso la facoltà di presentare una nuova SCIA.",3e0abd25f3bcf417e9e0a8b74e158ef5,13,"Se la tua comunicazione di inizio attività (SCIA) è incompleta perché mancano informazioni essenziali (come la firma del legale rappresentante, i dati richiesti nel modulo regionale o la documentazione allegata necessaria per identificare il tipo di attività a cui si riferisce la SCIA), l'Agenzia di Tutela della Salute (ATS) ti informerà immediatamente dell'irricevibilità, inammissibilità o improcedibilità della SCIA, senza dover aspettare i tempi previsti per le verifiche, come previsto dalla legge n. 241/1990. In questo caso, avrai la possibilità di presentare una nuova comunicazione di inizio attività."
"In caso di presentazione di SCIA formalmente regolare, la ATS inserisce i relativi dati nel registro informatizzato delle unità d'offerta sociosanitarie;",3e0abd25f3bcf417e9e0a8b74e158ef5,14,"Quando presenti una SCIA regolare, l'ATS registra i dati nel registro informatico delle strutture sociosanitarie."
"In caso di presentazione di SCIA formalmente regolare, la ATS accerta, entro sessanta giorni dall'effettivo ricevimento della SCIA, l'esistenza dei requisiti per l'esercizio dell'unità d'offerta, effettuando anche un sopralluogo presso la struttura;",3e0abd25f3bcf417e9e0a8b74e158ef5,15,"Se presenti una SCIA regolare, l'ATS verificherà entro sessanta giorni dalla ricezione della SCIA se sono soddisfatti i requisiti per gestire l'attività, effettuando un sopralluogo presso la struttura."
"In caso di presentazione di SCIA formalmente regolare, la ATS, nel caso di verifica positiva, ne comunica l'esito al gestore;",3e0abd25f3bcf417e9e0a8b74e158ef5,16,"Se presenti correttamente la Segnalazione Certificata di Inizio Attività (SCIA), l'Agenzia di Tutela della Salute (ATS) ti comunicherà l'esito positivo della verifica."
"In caso di presentazione di SCIA formalmente regolare, la ATS, nel caso invece di accertata carenza dei requisiti minimi, fatta salva l'applicazione delle dovute sanzioni amministrative previste dall'articolo 27 della legge regionale n. 33/2009 e s.m.i., sempre entro sessanta giorni dal ricevimento della SCIA, emette un atto di diffida imponendo al gestore di ottemperare alle prescrizioni rilevate entro un congruo termine non inferiore a trenta giorni. Qualora si riscontri una situazione di rischio per la salute o per la sicurezza pubblica, dispone con provvedimento motivato il divieto di prosecuzione dell'attività e l'obbligo di rimozione degli eventuali effetti dannosi provocati. In tale eventualità gravano in capo al soggetto gestore tutti gli adempimenti e i relativi oneri per la idonea collocazione degli utenti in altre unità d'offerta, in raccordo con la ATS, gli utenti e loro famiglie (o i tutori o gli amministratori di sostegno) e i comuni di residenza degli utenti;",3e0abd25f3bcf417e9e0a8b74e158ef5,17,"Se presenti una SCIA regolare, l'ATS emette un atto di diffida entro sessanta giorni dalla ricezione del documento se mancano i requisiti minimi. In questo caso, il gestore deve rispettare le prescrizioni entro trenta giorni. Se c'è un rischio per la salute pubblica, l'ATS può vietare l'attività e chiedere la rimozione dei danni causati. Il gestore è responsabile di trasferire gli utenti in altre strutture, in collaborazione con l'ATS, gli utenti e le loro famiglie, i tutori o gli amministratori di sostegno e i comuni di residenza degli utenti. Le sanzioni previste dalla legge regionale n. 33/2009 e successive modifiche saranno applicate in caso di mancata conformità."
"In caso di presentazione di SCIA formalmente regolare, la ATS, fatte salve le responsabilità di natura civile e penale, nonché le sanzioni dovute per l'inosservanza di altre normative regionali o nazionali, in caso di mancato adeguamento nei termini indicati alle prescrizioni contenute nella diffida, adotta un provvedimento motivato di divieto di prosecuzione dell'attività, ai sensi dall'art. 19 della legge n. 241/1990;",3e0abd25f3bcf417e9e0a8b74e158ef5,18,"Se presenti una SCIA correttamente compilata, l'ATS può vietare la continuazione dell'attività se non ti adegui alle prescrizioni indicate nella diffida entro i termini stabiliti. Questo provvedimento sarà motivato e si baserà sull'articolo 19 della legge n. 241/1990, fatta salva la responsabilità civile e penale e le sanzioni per non aver rispettato altre normative regionali o nazionali."
"In caso di presentazione di SCIA formalmente regolare, la ATS fornisce alla Regione comunicazione dell'esito delle verifiche condotte e dei provvedimenti adottati. Tutte le comunicazioni tra ATS e Regione avvengono via PEC nel rispetto dell'articolo 65 del decreto legislativo 7 marzo 2005, n. 82, Codice dell'Amministrazione Digitale.",3e0abd25f3bcf417e9e0a8b74e158ef5,19,"Quando si presenta una SCIA correttamente compilata, l'ATS informa la Regione sui risultati dei controlli effettuati e sulle decisioni prese. Le comunicazioni tra ATS e Regione avvengono tramite PEC, come previsto dall'articolo 65 del Codice dell'Amministrazione Digitale (D.Lgs. 7 marzo 2005, n. 82)."
"Fatte salve le responsabilità di natura civile e penale, nonché le sanzioni dovute al mancato rispetto di altre normative regionali o nazionali, le unità d'offerta sociosanitarie incorrono nella sospensione o revoca dell'autorizzazione o abilitazione all'esercizio, quando l'attività sia esercitata in mancanza dei requisiti minimi, previa diffida da parte della ATS ad adempiere alle prescrizioni per il ripristino dei requisiti entro un congruo termine non inferiore a trenta giorni.",3e0abd25f3bcf417e9e0a8b74e158ef5,20,"Le strutture sanitarie possono perdere l'autorizzazione se non rispettano i requisiti minimi richiesti. Prima di revocare l'autorizzazione, l'Agenzia di Tutela della Salute (ATS) invia una diffida e dà un tempo di almeno trenta giorni per adeguarsi alle regole. Questa situazione può comportare responsabilità civili e penali, così come sanzioni per non rispettare le normative regionali o nazionali."
"In caso di cessazione dell'attività, il gestore deve darne comunicazione alla ATS, al Comune e alla Regione, dimostrando di aver garantito la continuità dell'assistenza agli utenti.",3e0abd25f3bcf417e9e0a8b74e158ef5,21,"Se smetti l'attività, devi avvisare l'ATS, il Comune e la Regione e dimostrare di aver assicurato che l'assistenza agli utenti continui."
"L'accreditamento delle unità d'offerta sociosanitarie è subordinato alla presentazione di specifica istanza. Specifica istanza deve essere presentata anche per le unità d'offerta già accreditate, nei seguenti casi:
- variazione, sia in aumento che in riduzione, della capacità ricettiva,
- trasformazione di unità d'offerta esistente in altra tipologia;
- trasferimento della sede in cui è svolta l'attività, anche all'interno dello stesso edificio;
- voltura, da intendersi come effettivo trasferimento della gestione tra due distinti soggetti",3e0abd25f3bcf417e9e0a8b74e158ef5,22,"Per ottenere l'accreditamento delle strutture sociosanitarie è necessario presentare una specifica richiesta. Anche le strutture già accreditate devono presentare una specifica richiesta nei seguenti casi:
- se cambia la capacità ricettiva, sia aumentando che diminuendo;
- se l'unità esistente viene trasformata in un'altra tipologia;
- se la sede in cui si svolge l'attività viene spostata, anche all'interno dello stesso edificio;
- se avviene il passaggio di gestione da un soggetto a un altro."
"L'istanza deve essere presentata, utilizzando la modulistica regionale, alla Regione e alla ATS competente per territorio, mediante presentazione diretta, invio postale con raccomandata con avviso di ricevimento, posta elettronica certificata (PEC). La trasmissione alla Regione deve avvenire esclusivamente tramite PEC.",3e0abd25f3bcf417e9e0a8b74e158ef5,23,"Per presentare la richiesta, devi compilare il modulo della tua regione e inviarlo direttamente alla Regione e all'ATS del tuo territorio. Puoi farlo di persona, inviando una raccomandata con ricevuta di ritorno o tramite posta elettronica certificata (PEC). Ricorda che la documentazione va inviata alla Regione solo tramite PEC."
"All'istanza di accreditamento, unicamente per la ATS, devono essere allegati dichiarazioni sostitutive di certificazioni o atti notori, attestazioni ed elaborati tecnici, necessari a comprovare la sussistenza dei requisiti soggettivi, strutturali e tecnologici, organizzativi e gestionali previsti dal presente provvedimento e dalla normativa vigente per la specifica tipologia di unità d'offerta.",3e0abd25f3bcf417e9e0a8b74e158ef5,24,"Per richiedere l'accreditamento presso l'ATS, è necessario allegare dichiarazioni sostitutive di certificazioni o atti notori, attestazioni ed elaborati tecnici che dimostrino di possedere i requisiti richiesti dalla legge e dal provvedimento in vigore per il tipo specifico di servizio offerto."
"La presentazione dell'istanza di accreditamento può avvenire:
- contestualmente alla presentazione della SCIA, ovvero con una SCIA cosiddetta contestuale, presentata con le stesse modalità di cui al precedente paragrafo 2.4;
- successivamente, in presenza di un'attività già abilitata o autorizzata all'esercizio",3e0abd25f3bcf417e9e0a8b74e158ef5,25,"Puoi presentare la richiesta di accreditamento in due modi:
1. Insieme alla presentazione della Segnalazione Certificata di Inizio Attività (SCIA), utilizzando la stessa procedura descritta nel paragrafo 2.4.
2. In seguito, se l'attività è già abilitata o autorizzata."
"La ATS procede a verificare il possesso dei requisiti previsti tramite analisi documentale e visita in loco, e qualora le verifiche si concludano con esito positivo, adotta, entro sessanta giorni dal ricevimento dell'istanza, il provvedimento di parere positivo per l'accreditamento o di modifica dello stesso, sulla base di attestazione del possesso di ogni requisito.",3e0abd25f3bcf417e9e0a8b74e158ef5,26,"L'ATS verifica se si possiedono i requisiti necessari tramite analisi dei documenti e visita sul posto. Se le verifiche hanno esito positivo, rilascia entro sessanta giorni dalla ricezione della richiesta il parere positivo per l'accreditamento o la sua modifica, confermando il possesso di tutti i requisiti richiesti."
"Nel caso invece di accertata carenza o di mancato mantenimento di un requisito, fatte salve le eventuali responsabilità di natura civile e penale e l'applicazione delle dovute sanzioni amministrative previste dall'articolo 27 della legge regionale n. 33/2009 e s.m.i., la ATS:
- emette un atto di diffida, imponendo al gestore di ottemperare alle prescrizioni impartite entro un congruo termine, che non può essere superiore a sessanta giorni;
- accertato l'assolvimento delle prescrizioni, adotta il provvedimento di parere positivo per l'accreditamento o la modifica dello stesso;
- decorso invece infruttuosamente il termine della diffida, adotta il provvedimento di parere negativo al rilascio dell'accreditamento",3e0abd25f3bcf417e9e0a8b74e158ef5,27,"Se viene riscontrata una mancanza o un mancato rispetto di un requisito, la ATS procede nel seguente modo:
- emette un avviso formale, dando al responsabile un periodo di tempo ragionevole (massimo sessanta giorni) per adempiere agli obblighi richiesti;
- una volta verificato il rispetto degli obblighi, emette un parere positivo per l'accreditamento o la sua modifica;
- se invece il termine dell'avviso formale scade senza che il responsabile abbia adempiuto agli obblighi, emette un parere negativo e non rilascia l'accreditamento."
"Qualora l'accertamento della mancanza dei requisiti di esercizio o di accreditamento sia tale da comportare un grave rischio per la salute dei cittadini, la ATS emette la diffida ad ottemperare ai requisiti carenti e dispone contestuale ed immediato divieto di prosecuzione dell'attività e, per le unità d'offerta accreditate, atto di proposta di sospensione dell'accreditamento per un periodo minimo di tre giorni ed un massimo di centottanta. In tale eventualità gravano in capo al soggetto gestore tutti gli adempimenti e i relativi oneri per l'idonea collocazione degli utenti in altre unità d'offerta, in raccordo con la ATS, gli utenti stessi e le loro famiglie (o i tutori o gli amministratori di sostegno) e i Comuni di residenza degli utenti.",3e0abd25f3bcf417e9e0a8b74e158ef5,28,"Se l'ATS accerta che mancano i requisiti necessari per svolgere un'attività o per essere accreditati, e questo rappresenta un grave rischio per la salute dei cittadini, emette una diffida affinché vengano rispettati i requisiti mancanti. Allo stesso tempo, vieta immediatamente la continuazione dell'attività e, nel caso delle strutture accreditate, propone la sospensione dell'accreditamento per un periodo che va da tre a centottanta giorni. In questo caso, il gestore dell'attività è responsabile di organizzare il trasferimento degli utenti presso altre strutture, in collaborazione con l'ATS, gli utenti stessi e le loro famiglie (o tutori o amministratori di sostegno) e i Comuni di residenza degli utenti."
Tutti i provvedimenti adottati dalla ATS devono essere trasmessi alla Regione e al soggetto gestore entro cinque giorni lavorativi dalla loro adozione.,3e0abd25f3bcf417e9e0a8b74e158ef5,29,La ATS deve inviare tutti i provvedimenti adottati alla Regione e al soggetto gestore entro cinque giorni lavorativi.
"La Regione, a seguito di ricevimento dei provvedimenti di parere, procede, entro i successivi sessanta giorni, alla emissione del provvedimento relativo all' accreditamento con iscrizione/aggiornamento della posizione dell'unità d'offerta nel registro informatizzato delle unità d'offerta sociosanitarie accreditate, dandone comunicazione alla ATS e al soggetto gestore interessato.",3e0abd25f3bcf417e9e0a8b74e158ef5,30,"Dopo aver ricevuto i pareri necessari, la Regione emette il provvedimento di accreditamento dell'unità d'offerta nel registro delle unità sociosanitarie accreditate entro sessanta giorni e ne informa l'ATS e il gestore interessato."
"Entro sessanta giorni dalla comunicazione del provvedimento regionale, il soggetto gestore deve avviare l'attività oggetto di accreditamento con l'effettiva presa in carico di utenti, dandone comunicazione alla ATS competente.",3e0abd25f3bcf417e9e0a8b74e158ef5,31,"Il soggetto gestore deve iniziare l'attività autorizzata entro sessanta giorni dalla comunicazione della Regione, accogliendo gli utenti e informando l'ATS competente."
"La ATS esegue un ulteriore sopralluogo, senza preavviso, al fine di verificare il mantenimento dei requisiti, entro novanta giorni dalla comunicazione del provvedimento regionale.",3e0abd25f3bcf417e9e0a8b74e158ef5,32,L'ATS effettuerà un controllo a sorpresa entro novanta giorni dalla comunicazione della decisione della regione per verificare il rispetto dei requisiti richiesti.
Dell'esito del sopralluogo la ATS dà comunicazione entro cinque giorni alla Regione con l'invio del relativo verbale.,3e0abd25f3bcf417e9e0a8b74e158ef5,33,"La ATS comunica l'esito del sopralluogo alla Regione entro cinque giorni, inviando il verbale corrispondente."
"Nei casi in cui il sopralluogo post accreditamento si concluda con esito negativo, fatte salve le responsabilità di natura civile e penale e l'applicazione delle dovute sanzioni amministrative previste dall'articolo 27 della legge regionale n. 33/2009 e s.m.i., si applica la seguente procedura:
- ATS emette un atto di diffida, imponendo al gestore di ottemperare alle prescrizioni impartite entro un congruo termine, che non può essere superiore a trenta giorni;
- accertato l'assolvimento delle prescrizioni la ATS comunica alla Regione e al soggetto gestore l'esito positivo della verifica;
- decorso invece infruttuosamente il termine della diffida, adotta il provvedimento di proposta di sospensione dell'accreditamento per un periodo minimo di tre e massimo di centottanta giorni, durante il quale il soggetto gestore è tenuto ad adeguarsi alle prescrizioni;
- al termine della sospensione di accreditamento disposta dalla Regione, accertato l'assolvimento delle prescrizioni, la ATS comunica alla Regione e al soggetto gestore l'esito positivo della verifica;
- nel caso di ulteriore mancato adeguamento, ovvero in caso di fatti di accertata gravità, la ATS adotta il provvedimento di proposta di revoca dell'accreditamento",3e0abd25f3bcf417e9e0a8b74e158ef5,34,"Se il controllo successivo all'accreditamento risulta negativo, si segue questa procedura:
- L'Agenzia di Tutela della Salute (ATS) emette un avviso al gestore, chiedendo di rispettare le indicazioni entro massimo trenta giorni;
- Se il gestore rispetta le indicazioni, l'ATS informa la Regione e il gestore che il controllo è andato bene;
- Se il gestore non rispetta le indicazioni entro il termine dell'avviso, l'ATS propone di sospendere l'accreditamento per almeno tre mesi e al massimo sei mesi, durante i quali il gestore deve adeguarsi alle indicazioni;
- Alla fine della sospensione dell'accreditamento decisa dalla Regione, se il gestore ha rispettato le indicazioni, l'ATS informa la Regione e il gestore che il controllo è andato bene;
- Se il gestore continua a non adeguarsi o se ci sono problemi gravi, l'ATS propone di revocare l'accreditamento."
"Qualora l'accertamento della mancanza dei requisiti di esercizio o di accreditamento sia tale da comportare un grave rischio per la salute dei cittadini, la ATS emette la diffida ad ottemperare ai requisiti carenti e dispone contestuale ed immediato divieto di prosecuzione dell'attività e proposta di sospensione dell'accreditamento per un periodo minimo di tre giorni ed un massimo di centottanta. In tale eventualità gravano in capo al soggetto gestore tutti gli adempimenti e i relativi oneri per l'idonea collocazione degli utenti in altre unità d'offerta, in raccordo con la ATS, gli utenti stessi e le loro famiglie (o i tutori o gli amministratori di sostegno) e i Comuni di residenza degli utenti.",3e0abd25f3bcf417e9e0a8b74e158ef5,35,"Se l'ATS accerta che mancano i requisiti necessari per svolgere un'attività sanitaria o per essere accreditati, e se ciò rappresenta un grave rischio per la salute dei cittadini, emette una diffida affinché vengano rispettati i requisiti mancanti. Allo stesso tempo, vieta immediatamente la continuazione dell'attività e propone di sospendere l'accreditamento per un periodo che va da tre a centottanta giorni. In questo caso, il gestore dell'attività è responsabile di organizzare il trasferimento degli utenti presso altre strutture, in collaborazione con l'ATS, gli utenti stessi e le loro famiglie (o tutori o amministratori di sostegno) e i Comuni di residenza degli utenti."
"Nel caso in cui il sopralluogo post accreditamento si concluda con la constatazione che l'attività con l'effettiva presa in carico degli utenti non sia ancora iniziata, la ATS adotta entro 30 giorni il provvedimento di proposta di decadenza dell'accreditamento.",3e0abd25f3bcf417e9e0a8b74e158ef5,36,"Se dopo il sopralluogo successivo all'accreditamento si verifica che l'attività di presa in carico degli utenti non è ancora iniziata, l'Agenzia di Tutela della Salute adotterà entro 30 giorni la proposta di revoca dell'accreditamento."
Tutti i provvedimenti adottati dalla ATS devono essere trasmessi alla Regione e al soggetto gestore entro cinque giorni lavorativi dalla loro adozione.,3e0abd25f3bcf417e9e0a8b74e158ef5,37,La ATS deve inviare tutti i provvedimenti adottati alla Regione e al soggetto gestore entro cinque giorni lavorativi.
"La Regione, a seguito di ricevimento dei provvedimenti, procede, entro i successivi sessanta giorni, ad emettere provvedimento relativo all' accreditamento dell'unità d'offerta con iscrizione/aggiornamento del registro informatizzato delle unità d'offerta sociosanitarie accreditate dandone comunicazione alla ATS e al soggetto gestore interessato.",3e0abd25f3bcf417e9e0a8b74e158ef5,38,"Dopo aver ricevuto i provvedimenti, la Regione emette entro sessanta giorni il provvedimento sull'accreditamento dell'unità d'offerta e aggiorna il registro delle unità d'offerta sociosanitarie accreditate. Successivamente, comunica la decisione all'ATS e al soggetto gestore interessato."
Il procedimento di accreditamento si perfeziona all'atto dell'iscrizione nel registro regionale delle strutture accreditate.,3e0abd25f3bcf417e9e0a8b74e158ef5,39,"Per essere accreditati, devi iscriverti nel registro regionale delle strutture accreditate."
"Il soggetto gestore è tenuto, già dal momento di presentazione della SCIA contestuale o della richiesta di accreditamento, a dimostrare il possesso di tutti requisiti previsti per l'accreditamento dell'unità di offerta, indipendentemente dall'effettiva presenza di utenti. Lo standard di personale è invece assicurato in relazione alla progressiva presa in carico di utenti.",3e0abd25f3bcf417e9e0a8b74e158ef5,40,"Il gestore deve dimostrare di avere tutti i requisiti necessari per l'accreditamento dell'unità di offerta già al momento di presentare la SCIA o la richiesta di accreditamento, anche se non ci sono ancora utenti. Il personale standard, invece, deve essere garantito man mano che vengono presi in carico gli utenti."
L'accreditamento dell'unità di offerta comporta l'obbligo per il soggetto gestore di mantenere i requisiti di esercizio e accreditamento previsti dal presente provvedimento e dalla normativa per la specifica tipologia di unità d'offerta.,3e0abd25f3bcf417e9e0a8b74e158ef5,41,"Quando un'unità sanitaria ottiene l'accreditamento, il gestore deve rispettare i requisiti stabiliti da questo provvedimento e dalla legge per quel tipo di struttura."
